iter	Passed	Remaining
705	39480	72362
706	39534	72302
707	39595	72255
708	39654	72205
709	39713	72156
710	39771	72102
711	39824	72042
712	39884	71994
713	39940	71937
714	39995	71879
715	40056	71832
716	40116	71785
717	40174	71731
718	40230	71675
719	40282	71614
720	40342	71563
721	40402	71515
722	40456	71456
723	40527	71427
724	40587	71378
725	40643	71322
726	40705	71276
727	40763	71223
728	40822	71172
729	40883	71125
730	40940	71071
731	40998	71018
732	41053	70962
733	41106	70900
734	41165	70850
735	41231	70810
736	41288	70756
737	41347	70705
738	41404	70651
739	41461	70597
740	41518	70542
741	41578	70493
742	41639	70444
743	41695	70388
744	41758	70344
745	41814	70289
746	41871	70234
747	41933	70187
748	41994	70140
749	42055	70092
750	42112	70038
751	42174	69991
752	42230	69936
753	42291	69887
754	42353	69841
755	42410	69786
756	42465	69728
757	42522	69674
758	42579	69619
759	42640	69572
760	42712	69541
761	42769	69487
762	42834	69444
763	42887	69383
764	42948	69334
765	43006	69282
766	43066	69231
767	43123	69177
768	43190	69137
769	43247	69083
770	43301	69023
771	43355	68964
772	43416	68915
773	43474	68861
774	43545	68830
775	43610	68787
776	43679	68751
777	43748	68715
778	43813	68672
779	43871	68619
780	43926	68562
781	43994	68523
782	44057	68477
783	44113	68421
784	44173	68370
785	44234	68320
786	44289	68262
787	44350	68213
788	44408	68160
789	44471	68114
790	44525	68055
791	44582	67999
792	44651	67962
793	44707	67906
794	44769	67858
795	44832	67812
796	44896	67767
797	44960	67721
798	45017	67666
799	45077	67616
800	45137	67565
801	45192	67507
802	45261	67470
803	45324	67423
804	45383	67370
805	45445	67322
806	45507	67274
807	45565	67220
808	45627	67172
809	45688	67122
810	45747	67070
811	45802	67012
812	45863	66961
813	45928	66917
814	45990	66869
815	46052	66821
816	46121	66782
817	46177	66725
818	46233	66668
819	46288	66610
820	46353	66565
821	46417	66520
822	46481	66474
823	46537	66417
824	46598	66367
825	46659	66317
826	46717	66263
827	46770	66202
828	46833	66153
829	46895	66106
830	46958	66058
831	47026	66017
832	47099	65984
833	47157	65929
834	47217	65877
835	47286	65838
836	47343	65783
837	47403	65731
838	47471	65690
839	47532	65640
840	47595	65592
841	47649	65532
842	47703	65472
843	47762	65418
844	47828	65375
845	47895	65333
846	47956	65282
847	48021	65236
848	48082	65185
849	48136	65125
850	48197	65074
851	48256	65022
852	48326	64983
853	48387	64932
854	48451	64884
855	48519	64844
856	48577	64789
857	48636	64735
858	48692	64677
859	48754	64628
860	48811	64572
861	48875	64525
862	48943	64482
863	49001	64428
864	49064	64379
865	49122	64325
866	49194	64288
867	49253	64233
868	49315	64184
869	49373	64128
870	49432	64075
871	49495	64026
872	49552	63969
873	49616	63922
874	49676	63869
875	49744	63827
876	49800	63769
877	49864	63721
878	49926	63671
879	50000	63636
880	50056	63579
881	50113	63522
882	50170	63465
883	50237	63421
884	50299	63371
885	50354	63312
886	50407	63251
887	50473	63206
888	50530	63149
889	50592	63098
890	50649	63041
891	50710	62990
892	50770	62937
893	50825	62877
894	50879	62817
895	50944	62771
896	51006	62720
897	51075	62678
898	51133	62623
899	51198	62576
900	51255	62519
901	51317	62469
902	51383	62422
903	51441	62366
904	51503	62316
905	51559	62258
906	51623	62209
907	51689	62163
908	51755	62118
909	51820	62070
910	51878	62014
911	51936	61958
912	51996	61905
913	52049	61844
914	52101	61781
915	52158	61725
916	52217	61670
917	52276	61615
918	52331	61556
919	52392	61503
920	52450	61448
921	52509	61393
922	52563	61334
923	52617	61273
924	52679	61222
925	52736	61165
926	52796	61111
927	52855	61056
928	52917	61006
929	52985	60961
930	53044	60907
931	53103	60852
932	53164	60800
933	53228	60751
934	53287	60696
935	53347	60642
936	53405	60587
937	53461	60528
938	53522	60476
939	53583	60424
940	53649	60376
941	53707	60321
942	53771	60271
943	53829	60216
944	53884	60156
945	53943	60101
946	54011	60057
947	54069	60001
948	54129	59947
949	54202	59908
950	54270	59862
951	54330	59809
952	54397	59762
953	54461	59713
954	54520	59658
955	54577	59601
956	54633	59543
957	54695	59491
958	54760	59442
959	54823	59392
960	54877	59331
961	54937	59277
962	54998	59224
963	55056	59168
964	55118	59116
965	55177	59061
966	55242	59012
967	55308	58965
968	55371	58914
969	55430	58859
970	55487	58801
971	55548	58748
972	55606	58692
973	55659	58630
974	55714	58572
975	55775	58518
976	55828	58456
977	55896	58411
978	55954	58354
979	56014	58300
980	56073	58245
981	56138	58196
982	56201	58145
983	56266	58095
984	56321	58036
985	56378	57979
986	56437	57924
987	56511	57883
988	56576	57834
989	56636	57781
990	56691	57721
991	56748	57663
992	56805	57606
993	56871	57557
994	56932	57504
